farm,treatment,endpoint,month,month_mean,overall_mean,max,days_survival,years_survival,mean_annual_colonies,mean_annual_bees,queen_mortality,queen_survival,new_queens,surviving_queens,proportion_queens_surviving
B,gdn,TotalActiveBees,March,8.615,11.28345964,85.5,2998.6,8.215342466,92.7175,6862.59,NA,NA,NA,NA,NA
B,no gdn,TotalActiveBees,March,3.324166667,8.247927167,68.75,2039.15,5.586712329,83.90166667,5096.54,NA,NA,NA,NA,NA
B,alt gdn,TotalActiveBees,March,3.2075,8.553381915,72.2,2619.5,7.176712329,78.61333333,5060.11,NA,NA,NA,NA,NA
B,gdn pasture,TotalActiveBees,March,3.553333333,9.146127138,76.4,2004.35,5.491369863,87.03583333,5632.75,NA,NA,NA,NA,NA
CH,gdn,TotalActiveBees,March,9.08,12.20813938,90.5,3092.25,8.471917808,100.895,7490.7,NA,NA,NA,NA,NA
CH,no gdn,TotalActiveBees,March,3.8175,9.010645978,71.7,2484.35,6.806438356,84.89083333,5536.2,NA,NA,NA,NA,NA
CH,alt gdn,TotalActiveBees,March,4.16,10.88265724,79.1,3338.15,9.145616438,95.1025,6668.55,NA,NA,NA,NA,NA
CH,gdn pasture,TotalActiveBees,March,3.426666667,9.51254961,81.2,2920.05,8.000136986,86.47333333,5868.57,NA,NA,NA,NA,NA
CHH,gdn,TotalActiveBees,March,5.9575,9.323571458,78,2602.75,7.130821918,82.29333333,5681.89,NA,NA,NA,NA,NA
CHH,no gdn,TotalActiveBees,March,3.775,8.103838565,77.8,2120.6,5.809863014,78.28,4844.76,NA,NA,NA,NA,NA
CHH,alt gdn,TotalActiveBees,March,3.039166667,7.849515613,67.4,2025,5.547945205,78.50666667,4903.65,NA,NA,NA,NA,NA
CHH,gdn pasture,TotalActiveBees,March,3.290833333,9.036833349,74,2095.9,5.742191781,85.63166667,5419.25,NA,NA,NA,NA,NA
CHM,gdn,TotalActiveBees,March,18.18,17.81796276,105.85,6766,18.5369863,120.51,10812,NA,NA,NA,NA,NA
CHM,no gdn,TotalActiveBees,March,3.6125,9.767058683,76,2542.05,6.964520548,89.00333333,5875.68,NA,NA,NA,NA,NA
CHM,alt gdn,TotalActiveBees,March,3.735,10.37106547,79,2751.15,7.53739726,95.1925,6354.25,NA,NA,NA,NA,NA
CHM,gdn pasture,TotalActiveBees,March,3.66,9.507723293,78.85,2439.95,6.684794521,86.75166667,5779.47,NA,NA,NA,NA,NA
CW,gdn,TotalActiveBees,March,9.7975,11.38792669,78.85,3175.75,8.700684932,90.60583333,6911.61,NA,NA,NA,NA,NA
CW,no gdn,TotalActiveBees,March,3.25,8.934796285,76.15,2216.6,6.072876712,84.75083333,5429.16,NA,NA,NA,NA,NA
CW,alt gdn,TotalActiveBees,March,2.8125,7.93374952,77.8,2048.7,5.612876712,76.09416667,4796.19,NA,NA,NA,NA,NA
CW,gdn pasture,TotalActiveBees,March,3.306666667,8.779636847,72.35,1989.15,5.449726027,86.68,5354.14,NA,NA,NA,NA,NA
EM,gdn,TotalActiveBees,March,16.35,14.62302848,95.6,4376.6,11.99068493,108.06,8801.88,NA,NA,NA,NA,NA
EM,no gdn,TotalActiveBees,March,3.540833333,8.552392383,71.1,2392,6.553424658,81.68333333,5089.3,NA,NA,NA,NA,NA
EM,alt gdn,TotalActiveBees,March,4.0325,9.745485607,78.45,2625.6,7.193424658,89.42333333,5909.4,NA,NA,NA,NA,NA
EM,gdn pasture,TotalActiveBees,March,3.830833333,9.252647868,76.85,2598.2,7.118356164,88.56333333,5653.64,NA,NA,NA,NA,NA
ET,gdn,TotalActiveBees,March,14.9,16.14605293,97.4,6070.6,16.63178082,116.935,10036.98,NA,NA,NA,NA,NA
ET,no gdn,TotalActiveBees,March,4.22,10.1402816,80.75,3116.05,8.537123288,90.29166667,6170,NA,NA,NA,NA,NA
ET,alt gdn,TotalActiveBees,March,3.8125,10.37358105,87.15,3070.3,8.411780822,91.33333333,6413.76,NA,NA,NA,NA,NA
ET,gdn pasture,TotalActiveBees,March,3.485,10.18645334,79.1,2654.05,7.271369863,94.11833333,6204.34,NA,NA,NA,NA,NA
LH,gdn,TotalActiveBees,March,13.06,15.88769534,100.9,5700.95,15.6190411,119.495,9724.05,NA,NA,NA,NA,NA
LH,no gdn,TotalActiveBees,March,4.37,9.613131887,82.75,2964.9,8.123013699,82.85916667,5734.64,NA,NA,NA,NA,NA
LH,alt gdn,TotalActiveBees,March,4.75,10.92178946,83.4,3420.4,9.370958904,92.1475,6612.27,NA,NA,NA,NA,NA
LH,gdn pasture,TotalActiveBees,March,4.53,10.96808501,81.7,2698.5,7.393150685,95.49083333,6721.34,NA,NA,NA,NA,NA
LM,gdn,TotalActiveBees,March,6.7125,10.61855948,77.15,2831.15,7.756575342,88.87583333,6446.55,NA,NA,NA,NA,NA
LM,no gdn,TotalActiveBees,March,3.915,10.46857171,80.4,2034.1,5.572876712,95.03,6481.93,NA,NA,NA,NA,NA
