date,day,sugar_grams_km,se,low_se,high_se,habitat,prop_sugar,prop_se,sugar_grams_m2,se_grams_m2
28/02/2019,0,147.7512,35.33758,112.41362,183.08878,garden,0.999354279,0.239007732,0.0075115,0.001796522
01/03/2019,1,149.5407,34.83238,114.70832,184.37308,garden,0.999146204,0.23272678,0.007602476,0.001770838
02/03/2019,2,151.352,34.31876,117.03324,185.67076,garden,0.998871236,0.226493578,0.00769456,0.001744726
03/03/2019,3,153.1852,33.79748,119.38772,186.98268,garden,0.998508005,0.220300726,0.007787758,0.001718225
04/03/2019,4,155.0406,33.2694,121.7712,188.31,garden,0.9980284,0.214156881,0.007882084,0.001691378
05/03/2019,5,156.9185,32.73553,124.18297,189.65403,garden,0.997395491,0.208071201,0.007977555,0.001664236
06/03/2019,6,158.8191,32.19712,126.62198,191.01622,garden,0.996560844,0.202028624,0.008074179,0.001636864
07/03/2019,7,160.7426,31.65568,129.08692,192.39828,garden,0.995461162,0.196043663,0.008171967,0.001609338
08/03/2019,8,162.6894,31.11295,131.57645,193.80235,garden,0.994014419,0.190096316,0.008270941,0.001581746
09/03/2019,9,164.6595,30.57093,134.08857,195.23043,garden,0.992114671,0.184196072,0.008371098,0.001554191
10/03/2019,10,166.6532,30.03187,136.62133,196.68507,garden,0.989625827,0.178333131,0.008472456,0.001526785
11/03/2019,11,168.6706,29.49821,139.17239,198.16881,garden,0.986374294,0.172503547,0.008575018,0.001499655
12/03/2019,12,170.712,28.97258,141.73942,199.68458,garden,0.982140668,0.166689181,0.0086788,0.001472932
13/03/2019,13,172.7773,28.45786,144.31944,201.23516,garden,0.976650642,0.160863119,0.008783798,0.001446765
14/03/2019,14,174.8669,27.95709,146.90981,202.82399,garden,0.969566204,0.155009817,0.008890031,0.001421306
15/03/2019,15,176.9807,27.47353,149.50717,204.45423,garden,0.960478058,0.149101409,0.008997494,0.001396722
16/03/2019,16,179.1189,27.01062,152.10828,206.12952,garden,0.948902098,0.143088295,0.009106197,0.001373189
17/03/2019,17,181.2814,26.57192,154.70948,207.85332,garden,0.934282678,0.136946494,0.009216136,0.001350886
18/03/2019,18,183.4684,26.16107,157.30733,209.62947,garden,0.916007789,0.130617,0.009327321,0.001329998
19/03/2019,19,185.6797,25.78176,159.89794,211.46146,garden,0.893440367,0.124052337,0.009439741,0.001310715
20/03/2019,20,187.9153,25.43761,162.47769,213.35291,garden,0.865971599,0.117226548,0.009553396,0.001293219
21/03/2019,21,190.1753,25.13217,165.04313,215.30747,garden,0.833100828,0.11009588,0.009668292,0.00127769
22/03/2019,22,192.4597,24.8688,167.5909,217.3285,garden,0.794548036,0.102666188,0.009784428,0.001264301
23/03/2019,23,194.7682,24.65057,170.11763,219.41877,garden,0.750354859,0.094967604,0.00990179,0.001253206
24/03/2019,24,197.1009,24.48021,172.62069,221.58111,garden,0.700969264,0.087062137,0.010020381,0.001244546
25/03/2019,25,199.4577,24.36001,175.09769,223.81771,garden,0.647282476,0.079053032,0.010140198,0.001238435
26/03/2019,26,201.8383,24.2917,177.5466,226.13,garden,0.590592517,0.071078596,0.010261225,0.001234962
27/03/2019,27,204.2427,24.27643,179.96627,228.51913,garden,0.532489957,0.063291947,0.010383462,0.001234186
28/03/2019,28,206.6707,24.3147,182.356,230.9854,garden,0.474683844,0.055845704,0.010506899,0.001236131
29/03/2019,29,209.122,24.40637,184.71563,233.52837,garden,0.41879916,0.048877062,0.01063152,0.001240792
30/03/2019,30,211.5963,24.55061,187.04569,236.14691,garden,0.366200076,0.042488608,0.010757311,0.001248125
31/03/2019,31,214.0931,24.746,189.3471,238.8391,garden,0.31787962,0.036742221,0.010884245,0.001258058
01/04/2019,32,216.6121,24.9905,191.6216,241.6026,garden,0.274426315,0.031660712,0.011012308,0.001270488
02/04/2019,33,219.1528,25.28152,193.87128,244.43432,garden,0.236055355,0.027231491,0.011141474,0.001285283
03/04/2019,34,221.7147,25.61606,196.09864,247.33076,garden,0.202681767,0.023417086,0.011271718,0.001302291
04/04/2019,35,224.2972,25.99074,198.30646,250.28794,garden,0.174008662,0.020163535,0.01140301,0.001321339
05/04/2019,36,226.8995,26.40195,200.49755,253.30145,garden,0.149611086,0.01740865,0.011535308,0.001342245
06/04/2019,37,229.521,26.8459,202.6751,256.3669,garden,0.129005841,0.015089163,0.011668582,0.001364814
