date,day,garden_sugar_per_bee,garden_sugar_per_bee_se,farm_sugar_per_bee,farm_sugar_per_bee_se,total_sugar_per_bee,total_sugar_per_bee_se,bee_demand,bee_demand_se
28/02/2019,0,6.283913076,1.502920322,,,6.287973354,1.506226202,0.703757143,0.006700122
7/03/2019,7,6.836442113,1.346327756,0.03,0.017493647,6.867613097,1.363821402,0.703757143,0.006700122
14/03/2019,14,4.958102538,0.792683572,0.16,0.078349956,5.11373284,0.871033528,0.580314286,0.032571542
21/03/2019,21,2.156860189,0.285034791,0.43,0.226203949,2.588954563,0.511238741,0.300285714,0.022041021
28/03/2019,28,1.757956233,0.206822633,1.95,0.931383612,3.703425461,1.138206245,0.319011429,0.021998027
4/04/2019,35,0.968976325,0.112281436,4.6,2.02529985,5.568552248,2.137581287,0.306990178,0.022612798
11/04/2019,42,1.023293356,0.123938293,14.3,7.171987304,15.3186323,7.295925596,0.353444725,0.014283549
18/04/2019,49,0.802468773,0.102012943,20.27,10.7791493,21.07415659,10.88116225,0.466435683,0.043916782
25/04/2019,56,0.429866404,0.055955176,12.04,5.628240112,12.47104936,5.684195287,0.338176327,0.03644006
2/05/2019,63,0.274848717,0.035442602,5.89,2.364283743,6.166791507,2.399726344,0.328980305,0.048447586
9/05/2019,70,0.186110025,0.023112738,2.49,0.942322462,2.674723122,0.965435199,0.274881662,0.01320463
16/05/2019,77,0.183349946,0.0216468,1.43,0.495951702,1.618326943,0.517598502,0.329842051,0.013867023
23/05/2019,84,0.141065443,0.01598164,0.65,0.224206499,0.796062461,0.240188139,0.34710757,0.024232868
30/05/2019,91,0.095124402,0.010648419,0.28,0.10423183,0.378395891,0.114880249,0.284502948,0.025248362
6/06/2019,98,0.070334074,0.008041121,0.16,0.056137226,0.230525589,0.064178348,0.28477378,0.038292235
13/06/2019,105,0.074888652,0.008911073,0.17,0.058745007,0.24738866,0.06765608,0.278184424,0.034503373
20/06/2019,112,0.08764287,0.01084914,0.27,0.102032601,0.359982881,0.112881741,0.358261547,0.060019151
27/06/2019,119,0.071744627,0.009101046,0.34,0.130397056,0.409816607,0.139498102,0.332828033,0.023522552
4/07/2019,126,0.046307686,0.005879161,0.28,0.105738814,0.326132346,0.111617975,0.264210881,0.030290015
11/07/2019,133,0.033388098,0.004139643,0.18,0.068564711,0.210981138,0.072704354,0.282753835,0.021869457
18/07/2019,140,0.042912097,0.005108142,0.13,0.050955603,0.176529113,0.056063745,0.311626122,0.04625148
25/07/2019,147,0.047745181,0.005452885,0.07,0.02728211,0.121537035,0.032734995,0.343809727,0.07773726
1/08/2019,154,0.038235219,0.004275618,0.04,0.01461119,0.076055829,0.018886808,0.256556238,0.023942252
8/08/2019,161,0.027948226,0.003165401,0.03,0.011180951,0.057796247,0.014346352,0.280475632,0.025616726
15/08/2019,168,0.040816683,0.004816032,0.07,0.027614897,0.112532972,0.032430929,0.290161023,0.060224183
22/08/2019,175,0.063053439,0.007811134,0.2,0.089956141,0.261817904,0.097767275,0.369315009,0.139273539
29/08/2019,182,0.064871992,0.00832451,0.29,0.133412416,0.355831581,0.141736926,0.270047716,0.023832141
5/09/2019,189,0.046450461,0.006006924,0.21,0.079798954,0.259142188,0.085805878,0.289089148,0.036724282
12/09/2019,196,0.053191475,0.006718294,0.22,0.084631557,0.274160963,0.091349851,0.277330786,0.043949565
19/09/2019,203,0.072826495,0.008789814,0.34,0.145977029,0.408519327,0.154766843,0.350804806,0.084820159
26/09/2019,210,0.071795182,0.008344077,0.42,0.162162753,0.488868564,0.17050683,0.32659028,0.017399472
3/10/2019,217,0.048600753,0.005774837,0.25,0.093878165,0.301527587,0.099653001,0.248313874,0.019050398
10/10/2019,224,0.03827356,0.005114106,0.07,0.033767085,0.111441278,0.03888119,0.28387736,0.028491104
17/10/2019,231,0.067066296,0.010794411,0.01,0.007599642,0.081449815,0.018394053,0.277316692,0.079611254
24/10/2019,238,0.196123411,0.038706483,,,0.197865367,0.039715365,0.408431278,0.323041804
