Garden_code,date,day,Region,Month,sugar_grams_m2,mean_garden_area_per_km2,sugar_grams_km2
HAN-01,8/03/2019,8,Hanham,March,0.006744402,19670,132.6623954
HAN-01,8/04/2019,39,Hanham,April,0.032225432,19670,633.8742382
HAN-01,7/05/2019,68,Hanham,May,0.003678895,19670,72.36387083
HAN-01,4/06/2019,96,Hanham,June,0.007226643,19670,142.1480671
HAN-01,4/07/2019,126,Hanham,July,0.007000314,19670,137.696171
HAN-01,12/08/2019,165,Hanham,August,0.004394442,19670,86.43867183
HAN-01,16/09/2019,200,Hanham,September,0.003572086,19670,70.26292352
HAN-01,18/10/2019,232,Hanham,October,0.003314408,19670,65.19441059
HAN-02,8/03/2019,8,Hanham,March,0.00895202,19670,176.0862312
HAN-02,8/04/2019,39,Hanham,April,0.003537362,19670,69.57990681
HAN-02,7/05/2019,68,Hanham,May,0.010908385,19670,214.5679309
HAN-02,4/06/2019,96,Hanham,June,0.012171486,19670,239.413126
HAN-02,4/07/2019,126,Hanham,July,0.014562426,19670,286.4429185
HAN-02,5/08/2019,158,Hanham,August,0.004138227,19670,81.39892632
HAN-02,3/09/2019,187,Hanham,September,0.004305295,19670,84.68514374
HAN-02,2/10/2019,216,Hanham,October,0.001857445,19670,36.53594759
HAN-03,28/03/2019,28,Hanham,March,0.004330001,19670,85.1711104
HAN-03,29/04/2019,60,Hanham,April,0.004005156,19670,78.78141517
HAN-03,30/05/2019,91,Hanham,May,0.007921684,19670,155.8195161
HAN-03,28/06/2019,120,Hanham,June,0.007332459,19670,144.2294729
HAN-03,29/07/2019,151,Hanham,July,0.007219146,19670,142.000611
HAN-03,27/08/2019,180,Hanham,August,0.005282201,19670,103.9008994
HAN-03,24/09/2019,208,Hanham,September,0.003917587,19670,77.0589273
HAN-03,28/10/2019,242,Hanham,October,0.003763839,19670,74.0347153
HAN-04,8/03/2019,8,Hanham,March,0.000162605,19670,3.198438031
HAN-04,8/04/2019,39,Hanham,April,0.00029088,19670,5.721604229
HAN-04,7/05/2019,68,Hanham,May,0.002159294,19670,42.47332113
HAN-04,4/06/2019,96,Hanham,June,0.002079064,19670,40.89519467
HAN-04,4/07/2019,126,Hanham,July,0.001100063,19670,21.63822968
HAN-04,5/08/2019,158,Hanham,August,0.001187104,19670,23.35032943
HAN-04,3/09/2019,187,Hanham,September,0.00133446,19670,26.24882478
HAN-04,2/10/2019,216,Hanham,October,0.000845841,19670,16.63769656
HAN-05,8/03/2019,8,Hanham,March,0.000398345,19670,7.835447165
HAN-05,8/04/2019,39,Hanham,April,0.002135816,19670,42.01150065
HAN-05,7/05/2019,68,Hanham,May,0.01453661,19670,285.9351133
HAN-05,4/06/2019,96,Hanham,June,0.006697091,19670,131.7317748
HAN-05,4/07/2019,126,Hanham,July,0.003360311,19670,66.09732336
HAN-05,5/08/2019,158,Hanham,August,0.0020563,19670,40.4474254
HAN-05,3/09/2019,187,Hanham,September,0.000835524,19670,16.4347628
HAN-05,2/10/2019,216,Hanham,October,0.001948401,19670,38.32505185
HAN-06,8/03/2019,8,Hanham,March,0.001094463,19670,21.52807938
HAN-06,8/04/2019,39,Hanham,April,0.03612685,19670,710.6151461
HAN-06,7/05/2019,68,Hanham,May,0.001824353,19670,35.88502976
HAN-06,4/06/2019,96,Hanham,June,0.01605216,19670,315.7459843
HAN-06,4/07/2019,126,Hanham,July,0.008455365,19670,166.317023
HAN-06,5/08/2019,158,Hanham,August,0.002806309,19670,55.20009245
HAN-06,3/09/2019,187,Hanham,September,0.001993447,19670,39.21109309
HAN-06,2/10/2019,216,Hanham,October,0.001661382,19670,32.6793865
HAN-07,28/03/2019,28,Hanham,March,0.019926198,19670,391.9483168
HAN-07,29/04/2019,60,Hanham,April,0.010884845,19670,214.1049027
HAN-07,30/05/2019,91,Hanham,May,0.003582561,19670,70.46897096
HAN-07,28/06/2019,120,Hanham,June,0.004214479,19670,82.89880843
HAN-07,29/07/2019,151,Hanham,July,0.012851121,19670,252.7815593
HAN-07,27/08/2019,180,Hanham,August,0.010305879,19670,202.7166466
HAN-07,24/09/2019,208,Hanham,September,0.007798806,19670,153.4025157
HAN-07,28/10/2019,242,Hanham,October,0.005767625,19670,113.4491836
HAN-08,13/03/2019,13,Hanham,March,0.007962002,19670,156.6125792
HAN-08,15/04/2019,46,Hanham,April,0.038005637,19670,747.5708812
HAN-08,13/05/2019,74,Hanham,May,0.019337021,19670,380.3592045
HAN-08,11/06/2019,103,Hanham,June,0.004238131,19670,83.36403036
HAN-08,11/07/2019,133,Hanham,July,0.008704686,19670,171.2211791
HAN-08,12/08/2019,165,Hanham,August,0.00727873,19670,143.1726145
HAN-08,16/09/2019,200,Hanham,September,0.008992472,19670,176.8819279
HAN-08,18/10/2019,232,Hanham,October,0.006939065,19670,136.4914118
HAN-09,28/03/2019,28,Hanham,March,0.055696007,19670,1095.540466
HAN-09,29/04/2019,60,Hanham,April,0.012116476,19670,238.3310901
HAN-09,30/05/2019,91,Hanham,May,0.019390626,19670,381.4136081
HAN-09,28/06/2019,120,Hanham,June,0.006986993,19670,137.4341538
HAN-09,29/07/2019,151,Hanham,July,0.018165134,19670,357.3081839
HAN-09,29/08/2019,182,Hanham,August,0.008284406,19670,162.9542727
HAN-09,24/09/2019,208,Hanham,September,0.006325826,19670,124.4289915
HAN-09,28/10/2019,242,Hanham,October,0.015552114,19670,305.9100765
HAN-10,13/03/2019,13,Hanham,March,0.012367357,19670,243.2659163
HAN-10,15/04/2019,46,Hanham,April,0.009244952,19670,181.8482076
HAN-10,13/05/2019,74,Hanham,May,0.003257507,19670,64.07515688
HAN-10,11/06/2019,103,Hanham,June,0.003041348,19670,59.82331602
HAN-10,11/07/2019,133,Hanham,July,0.01534798,19670,301.8947694
HAN-10,12/08/2019,165,Hanham,August,0.004019352,19670,79.06065532
HAN-10,16/09/2019,200,Hanham,September,0.000452561,19670,8.90187777
HAN-10,18/10/2019,232,Hanham,October,0.000502992,19670,9.893853915
HAN-11,13/03/2019,13,Hanham,March,0.001632342,19670,32.10816889
HAN-11,15/04/2019,46,Hanham,April,0.004419197,19670,86.92561016
HAN-11,13/05/2019,74,Hanham,May,0.015446383,19670,303.8303461
HAN-11,11/06/2019,103,Hanham,June,0.008779342,19670,172.6896485
HAN-11,11/07/2019,133,Hanham,July,0.017689759,19670,347.9575613
HAN-11,12/08/2019,165,Hanham,August,0.006829333,19670,134.3329823
HAN-11,16/09/2019,200,Hanham,September,0.014022555,19670,275.8236598
HAN-11,18/10/2019,232,Hanham,October,0.00454952,19670,89.4890499
HAN-12,28/03/2019,28,Hanham,March,0.005970436,19670,117.4384694
HAN-12,29/04/2019,60,Hanham,April,0.001485287,19670,29.21559119
HAN-12,30/05/2019,91,Hanham,May,0.006445716,19670,126.7872387
HAN-12,28/06/2019,120,Hanham,June,0.003695359,19670,72.68771646
HAN-12,29/07/2019,151,Hanham,July,0.003174902,19670,62.4503268
HAN-12,27/08/2019,180,Hanham,August,0.004749571,19670,93.42406815
HAN-12,24/09/2019,208,Hanham,September,0.005690716,19670,111.9363747
HAN-12,28/10/2019,242,Hanham,October,0.00227225,19670,44.69515939
HOR-01,7/03/2019,7,Horfield Common,March,0.007663619,19670,150.7433871
HOR-01,4/04/2019,35,Horfield Common,April,0.004252911,19670,83.65475014
HOR-01,3/05/2019,64,Horfield Common,May,0.047864578,19670,941.4962498
HOR-01,3/06/2019,95,Horfield Common,June,0.036609874,19670,720.1162127
HOR-01,3/07/2019,125,Horfield Common,July,0.051189015,19670,1006.887915
HOR-01,6/08/2019,159,Horfield Common,August,0.068662553,19670,1350.592417
HOR-01,3/09/2019,187,Horfield Common,September,0.060241185,19670,1184.944112
HOR-01,2/10/2019,216,Horfield Common,October,0.048924481,19670,962.344535
HOR-02,7/03/2019,7,Horfield Common,March,0.000625035,19670,12.29443326
HOR-02,4/04/2019,35,Horfield Common,April,0.00061322,19670,12.06203369
HOR-02,2/05/2019,63,Horfield Common,May,0.002417597,19670,47.55414113
HOR-02,7/06/2019,99,Horfield Common,June,0.007622388,19670,149.9323744
HOR-02,8/07/2019,130,Horfield Common,July,0.007761334,19670,152.6654353
HOR-02,6/08/2019,159,Horfield Common,August,0.002465135,19670,48.48919896
HOR-02,2/09/2019,186,Horfield Common,September,0.00252877,19670,49.74091232
HOR-02,2/10/2019,216,Horfield Common,October,0.000848231,19670,16.68470139
HOR-03,7/03/2019,7,Horfield Common,March,4.50E-06,19670,0.088502629
HOR-03,4/04/2019,35,Horfield Common,April,0.000592283,19670,11.6502008
HOR-03,2/05/2019,63,Horfield Common,May,0.044369981,19670,872.7575351
HOR-03,3/06/2019,95,Horfield Common,June,0.08623699,19670,1696.281598
HOR-03,3/07/2019,125,Horfield Common,July,0.003258273,19670,64.09023523
HOR-03,6/08/2019,159,Horfield Common,August,0.003005172,19670,59.1117273
HOR-03,3/09/2019,187,Horfield Common,September,0.001417275,19670,27.87779616
HOR-03,2/10/2019,216,Horfield Common,October,3.08E-06,19670,0.060618239
HOR-04,7/03/2019,7,Horfield Common,March,0.002114204,19670,41.58639352
HOR-04,4/04/2019,35,Horfield Common,April,0.004153063,19670,81.69074802
HOR-04,3/05/2019,64,Horfield Common,May,0.017486925,19670,343.9678129
HOR-04,3/06/2019,95,Horfield Common,June,0.027545347,19670,541.8169768
HOR-04,3/07/2019,125,Horfield Common,July,0.073063955,19670,1437.167989
